DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount
2025-05-01,44,1003607,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 214,,CHG  SALE,159.90
2025-05-01,44,1003613,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 360,,CHG  SALE,289.70
2025-05-01,44,1003632,AKEMY,96,SOUTHERN SANITATION SERVICE,LOVES,#93,,CHG  SALE,452.40
2025-05-01,44,1003687,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 270,,CHG  SALE,35.80
2025-05-01,44,1003689,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 144,,CHG  SALE,47.90
2025-05-01,44,1003716,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 206,,CHG  SALE,75.80
2025-05-01,44,1003729,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 351,,CHG  SALE,60.40
2025-05-01,44,1003771,AKEMY,96,SOUTHERN SANITATION SERVICE,,#85 368,,CHG  SALE,102.70
2025-05-01,44,1003789,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 61,,CHG  SALE,33.40
2025-05-01,44,1003819,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 5,,CHG  SALE,63.70
2025-05-01,44,1003838,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 357,,CHG  SALE,71.60
2025-05-01,44,1003848,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 177,,CHG  SALE,124.60
2025-05-01,44,1003913,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 43,,CHG  SALE,78.10
2025-05-01,44,1003916,AKEMY,96,SOUTHERN SANITATION SERVICE,,#79 184,,CHG  SALE,443.60
2025-05-01,44,1003947,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 4,,CHG  SALE,61.80
2025-05-01,44,1003976,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 203,,CHG  SALE,58.50
2025-05-01,44,1004045,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 353,,CHG  SALE,48.30
2025-05-01,44,1004057,SANDY,96,SOUTHERN SANITATION SERVICE,LOWES,#79,,CHG  SALE,354.30
2025-05-01,44,1004058,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 322,,CHG  SALE,288.70
2025-05-01,44,1004067,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 106,,CHG  SALE,154.30
2025-05-01,44,1004137,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 137,,CHG  SALE,13.90
2025-05-01,44,1004148,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 185,,CHG  SALE,43.20
2025-05-01,44,1004165,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 95,,CHG  SALE,80.90
2025-05-01,44,1004171,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 358,,CHG  SALE,182.20
2025-05-01,44,1004182,SANDY,98,S.S.S. MINI ROLL-OFF,,#79 075,,CHG  SALE,169.20
2025-05-02,44,1004195,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 176,,CHG  SALE,109.20
2025-05-02,44,1004199,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 33,,CHG  SALE,43.20
2025-05-02,44,1004204,SANDY,96,SOUTHERN SANITATION SERVICE,FLYING J,#93,,CHG  SALE,494.70
2025-05-02,44,1004216,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 169,,CHG  SALE,34.80
2025-05-02,44,1004221,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 08,,CHG  SALE,8.80
2025-05-02,44,1004223,SANDY,96,SOUTHERN SANITATION SERVICE,,#79 169,,CHG  SALE,20.00
2025-05-02,44,1004228,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 119,,CHG  SALE,62.30
2025-05-02,44,1004279,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 252,,CHG  SALE,48.30
2025-05-02,44,1004280,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 1,,CHG  SALE,76.20
2025-05-02,44,1004286,SANDY,98,S.S.S. MINI ROLL-OFF,,#79 036,,CHG  SALE,630.00
2025-05-02,44,1004316,SANDY,98,S.S.S. MINI ROLL-OFF,,#79 071,,CHG  SALE,26.00
2025-05-02,44,1004328,SANDY,96,SOUTHERN SANITATION SERVICE,DOCTORS,LS-4,,CHG  SALE,160.80
2025-05-02,44,1004350,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 346,,CHG  SALE,26.90
2025-05-02,44,1004364,SANDY,96,SOUTHERN SANITATION SERVICE,,#87 34,,CHG  SALE,1026.20
2025-05-02,44,1004396,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 343,,CHG  SALE,177.10
2025-05-02,44,1004415,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-4 158,,CHG  SALE,66.50
2025-05-02,44,1004478,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 216,,CHG  SALE,28.30
2025-05-02,44,1004504,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 103,,CHG  SALE,65.50
2025-05-02,44,1004556,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 117,,CHG  SALE,315.20
2025-05-02,44,1004595,ROSIE,98,S.S.S. MINI ROLL-OFF,,#79 042,,CHG  SALE,100.90
2025-05-02,44,1004608,ROSIE,96,SOUTHERN SANITATION SERVICE,,#85 191,,CHG  SALE,23.20
2025-05-02,44,1004620,ROSIE,96,SOUTHERN SANITATION SERVICE,,#94 143,,CHG  SALE,57.60
2025-05-03,44,1004625,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 124,,CHG  SALE,40.40
2025-05-03,44,1004626,AKEMY,98,S.S.S. MINI ROLL-OFF,,#79 030,,CHG  SALE,194.30
2025-05-03,44,1004646,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 263,,CHG  SALE,142.70
2025-05-03,44,1004651,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 348,,CHG  SALE,54.80
2025-05-03,44,1004657,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 348,,CHG  SALE,67.40
2025-05-03,44,1004669,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 154,,CHG  SALE,179.90
2025-05-03,44,1004704,AKEMY,96,SOUTHERN SANITATION SERVICE,,#94 308,,CHG  SALE,134.30
2025-05-03,44,1004718,AKEMY,96,SOUTHERN SANITATION SERVICE,HEB,#79,,CHG  SALE,364.10
2025-05-03,44,1004720,AKEMY,96,SOUTHERN SANITATION SERVICE,CINEMARK,#93,,CHG  SALE,627.70
2025-05-03,44,1004735,AKEMY,96,SOUTHERN SANITATION SERVICE,,#85 381,,CHG  SALE,50.60
2025-05-03,44,1004746,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 289,,CHG  SALE,65.10
2025-05-03,44,1004770,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 163,,CHG  SALE,78.50
2025-05-03,44,1004793,AKEMY,96,SOUTHERN SANITATION SERVICE,,#85 44,,CHG  SALE,19.00
2025-05-03,44,1004795,AKEMY,96,SOUTHERN SANITATION SERVICE,,LS-3 315,,CHG  SALE,1294.60
2025-05-03,44,1004806,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 158,,CHG  SALE,73.90
2025-05-03,44,1004818,AKEMY,96,SOUTHERN SANITATION SERVICE,,#93 122,,CHG  SALE,433.00
2025-05-03,44,1004837,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 279,,CHG  SALE,146.00
2025-05-03,44,1004855,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 235,,CHG  SALE,79.50
2025-05-03,44,1004870,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 243,,CHG  SALE,23.20
2025-05-03,44,1004871,AKEMY,96,SOUTHERN SANITATION SERVICE,HEB,#79,,CHG  SALE,383.60
2025-05-03,44,1004969,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 211,,CHG  SALE,73.90
2025-05-03,44,1004995,AKEMY,96,SOUTHERN SANITATION SERVICE,HEB,#85,,CHG  SALE,264.10
2025-05-03,44,1005003,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 215,,CHG  SALE,119.90
2025-05-03,44,1005019,AKEMY,96,SOUTHERN SANITATION SERVICE,HOMEDEPOT,LS-3,,CHG  SALE,487.70
2025-05-03,44,1005019,AKEMY,96,SOUTHERN SANITATION SERVICE,HOMEDEPOT,LS-3,,CHG  SALE,10.00
2025-05-03,44,1005041,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 105,,CHG  SALE,103.20
2025-05-03,44,1005048,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 130,,CHG  SALE,13.40
2025-05-03,44,1005074,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 253,,CHG  SALE,44.60
2025-05-03,44,1005157,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 287,,CHG  SALE,126.40
2025-05-03,44,1005159,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 52,,CHG  SALE,16.20
2025-05-03,44,1005174,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 32,,CHG  SALE,36.20
2025-05-03,44,1005181,AKEMY,96,SOUTHERN SANITATION SERVICE,WALMART,#93,,CHG  SALE,210.60
2025-05-03,44,1005220,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 139,,CHG  SALE,251.50
2025-05-05,44,1005227,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 144,,CHG  SALE,33.00
2025-05-05,44,1005232,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 17,,CHG  SALE,27.40
2025-05-05,44,1005233,SANDY,96,SOUTHERN SANITATION SERVICE,LOVES,#93,,CHG  SALE,443.10
2025-05-05,44,1005238,ROSIE,98,S.S.S. MINI ROLL-OFF,,#94 075,,CHG  SALE,32.00
2025-05-05,44,1005246,ROSIE,96,SOUTHERN SANITATION SERVICE,,#79,,CHG  SALE,182.70
2025-05-05,44,1005284,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 123,,CHG  SALE,60.40
2025-05-05,44,1005347,ROSIE,96,SOUTHERN SANITATION SERVICE,,#85,,CHG  SALE,251.50
2025-05-05,44,1005351,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 234,,CHG  SALE,70.60
2025-05-05,44,1005392,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 193,,CHG  SALE,178.10
2025-05-05,44,1005393,ROSIE,98,S.S.S. MINI ROLL-OFF,,#94 015,,CHG  SALE,1218.90
2025-05-05,44,1005423,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 362,,CHG  SALE,337.10
2025-05-05,44,1005426,ROSIE,96,SOUTHERN SANITATION SERVICE,HOME GOODS,#79,,CHG  SALE,0.00
2025-05-05,44,1005503,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 252,,CHG  SALE,14.80
2025-05-05,44,1005506,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 358,,CHG  SALE,9.30
2025-05-05,44,1005514,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 237,,CHG  SALE,91.60
2025-05-05,44,1005593,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 370,,CHG  SALE,90.20
2025-05-05,44,1005630,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 148,,CHG  SALE,98.10
2025-05-05,44,1005649,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 138,,CHG  SALE,89.70
2025-05-05,44,1005674,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 366,,CHG  SALE,126.40
2025-05-05,44,1005706,SANDY,96,SOUTHERN SANITATION SERVICE,LA POSADA,#94,,CHG  SALE,100.90
2025-05-05,44,1005727,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 76,,CHG  SALE,37.20
2025-05-05,44,1005750,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 217,,CHG  SALE,167.40
2025-05-05,44,1005761,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 170,,CHG  SALE,99.50
2025-05-05,44,1005780,SANDY,96,SOUTHERN SANITATION SERVICE,,#79 9,,CHG  SALE,181.30
2025-05-05,44,1005785,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 350,,CHG  SALE,39.00
2025-05-05,44,1005787,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 227,,CHG  SALE,114.30
2025-05-05,44,1005791,SANDY,96,SOUTHERN SANITATION SERVICE,,#79 139,,CHG  SALE,154.30
2025-05-06,44,1005796,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 353,,CHG  SALE,38.60
2025-05-06,44,1005798,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 185,,CHG  SALE,20.90
2025-05-06,44,1005802,ROSIE,96,SOUTHERN SANITATION SERVICE,LOVES,#93,,CHG  SALE,368.20
2025-05-06,44,1005807,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 141,,CHG  SALE,131.10
2025-05-06,44,1005905,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 33,,CHG  SALE,87.40
2025-05-06,44,1005911,ROSIE,96,SOUTHERN SANITATION SERVICE,OUTLETS,#85,,CHG  SALE,299.00
2025-05-06,44,1005954,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 153,,CHG  SALE,88.30
2025-05-06,44,1006002,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 108,,CHG  SALE,70.60
2025-05-06,44,1006003,ROSIE,96,SOUTHERN SANITATION SERVICE,,#79 114,,CHG  SALE,952.60
2025-05-06,44,1006004,ROSIE,96,SOUTHERN SANITATION SERVICE,,#79 348,,CHG  SALE,71.10
2025-05-06,44,1006046,ROSIE,96,SOUTHERN SANITATION SERVICE,,#93 162,,CHG  SALE,1026.20
2025-05-06,44,1006069,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 339,,CHG  SALE,63.20
2025-05-06,44,1006080,SANDY,96,SOUTHERN SANITATION SERVICE,DD'S,#79,,CHG  SALE,268.30
